scan_id,trade_num,orderId,order_type,pair,pending,price,original_qty,filled_qty,result_qty,fee,fee_currency,execution_time_secs
23,0,6091f0ee78f3de0006b653ff,buy,UNI-USDT,True,43.3153,0.1086,0.0,0.0,0.0,USDT,0.61217
24,0,6091f0f406a1ae0006d7e1fe,buy,UNI-USDT,True,43.3964,0.0542,0.0,0.0,0.0,USDT,0.59132
24,1,6091f0f65b31e60006286431,sell,UNI-KCS,True,3.03,0.0542,0.0,0.0,0.0,KCS,0.54115
24,1,6091f0f806a1ae0006d80434,sell,UNI-KCS,False,3.0259,0.0227,0.0227,0.06868793,5.4950344e-05,KCS,0.58839
24,1,6091f0f806a1ae0006d80434,sell,UNI-KCS,False,3.0259,0.0227,0.0227,0.06868793,5.4950344e-05,KCS,
24,2,6091f0fae818d000068d9b8a,sell,KCS-USDT,True,14.362,0.1369,0.0,0.0,0.0,USDT,0.53198
24,2,6091f0fae818d000068d9b8a,sell,KCS-USDT,False,14.362,0.1369,0.1369,1.9661578,0.0019661578,USDT,
27,0,6091f1055b31e6000628cf59,buy,POLK-USDT,False,1.6445,0.336,0.336,0.552552,0.0008840832,USDT,0.54148
27,1,6091f105cd8d950006517e76,sell,POLK-BTC,False,3.01e-05,0.336,0.336,1.01136e-05,1.618176e-08,BTC,0.6292
27,2,6091f10606a1ae0006d86407,sell,BTC-USDT,False,54953.3,1.005e-05,1.005e-05,0.552280665,0.000441824532,USDT,0.51297
28,0,6091f109e818d000068e0474,buy,POLK-USDT,False,1.644,0.3644,0.3644,0.5990736,0.00095851776,USDT,0.54253
28,1,6091f10afc04e80006742a8b,sell,POLK-BTC,True,3.01e-05,0.3644,0.0,0.0,0.0,BTC,0.50493
28,1,6091f10da11b8d00064fbd61,sell,POLK-BTC,False,2.996e-05,0.3639,0.3639,1.0920639e-05,1.74730224e-08,BTC,1.73234
28,1,6091f10da11b8d00064fbd61,sell,POLK-BTC,False,2.996e-05,0.3639,0.3639,1.0920639e-05,1.74730224e-08,BTC,
28,2,6091f10fbf2e2f000627ed6c,sell,BTC-USDT,False,54958.8,2.172e-05,2.172e-05,1.193878896,0.0009551031168,USDT,1.03495
32,0,6091f11b000a84000629f074,buy,UNI-USDT,False,43.2858,0.2432,0.2432,10.52710656,0.008421685248,USDT,0.76519
32,1,6091f11cbf2e2f0006285537,sell,UNI-KCS,True,3.0257,0.2432,0.0,0.0,0.0,KCS,0.63146
32,1,6091f11e78f3de0006b7b5cd,sell,UNI-KCS,False,3.0204,0.012,0.012,0.0362448,2.899584e-05,KCS,0.64045
32,1,6091f11e78f3de0006b7b5cd,sell,UNI-KCS,False,3.0204,0.012,0.012,0.0362448,2.899584e-05,KCS,
32,2,6091f12178f3de0006b7cd27,sell,KCS-USDT,False,14.376,0.0721,0.0721,1.0367424,0.00165878784,USDT,0.713
